,sitecode,latitude,longitude,CO,NO2,SO2,O3,PM10,PM25,Postcode
0,BG1,51.563752,0.177891,0,1,1,0,0,0,RM7 0TL
0,BG2,51.529389,0.132857,0,1,0,0,1,0,IG11 0UA
0,BQ7,51.4946486813055,0.137279111232178,0,1,0,1,1,0,DA18 4BU
0,BQ8,51.4946486813055,0.137279111232178,0,0,0,0,1,0,DA18 4BU
0,BX0,51.4906102082147,0.158914493927518,0,0,0,0,1,0,DA17 6AA
0,BX1,51.4659832746662,0.184877126994369,0,1,1,1,0,0,DA8 2EE
0,BX2,51.4906102082147,0.158914493927518,0,1,0,0,1,0,DA17 6AA
0,BT4,51.552476,-0.258089,0,1,0,0,1,1,NW10 0JR
0,BT5,51.552656,-0.248774,0,1,0,0,1,0,NW10 2UG
0,BT6,51.537799,-0.247793,0,1,0,0,1,0,NW10 4JJ
0,BT8,51.5324054617809,-0.217718908639377,0,1,0,0,1,0,NW10 3JJ
0,BY7,51.405546,0.018882,0,1,0,0,1,1,BR1 3BF
0,BL0,51.522287,-0.125848,0,1,1,1,1,1,WC1B 5EG
0,CD1,51.544219,-0.175284,0,1,0,0,0,1,NW3 5DL
0,IM1,51.5173675146177,-0.1201947113171,0,1,0,0,0,0,WC2B 6AA
0,CT2,51.5145253362314,-0.104515626337876,0,0,0,0,0,1,EC4A 4AS
0,CT3,51.513847178423,-0.077765681752,0,1,0,0,1,1,EC3A 5DE
0,CT4,51.520225273171,-0.0961060474176381,0,1,0,0,1,0,EC2Y 8DJ
0,CT6,51.510499,-0.091634,0,1,0,0,0,0,EC4R 3TE
0,CT8,51.5095436853913,-0.0873571979556188,0,0,0,0,1,0,EC4R 9EL
0,CR5,51.411349,-0.12311,0,1,0,0,0,0,SW16 4BU
0,CR7,51.3622305655403,-0.117604507351392,0,1,0,0,0,0,CR0 4RJ
0,CR8,51.410039,-0.127523,0,0,0,0,0,1,SW16 5QR
0,EA6,51.53085,-0.292488,0,1,0,0,1,0,W5 1EF
0,EA8,51.518948,-0.265617,0,1,0,0,1,0,W3 0BU
0,EI1,51.5236078191481,-0.265502631799754,0,1,0,0,1,0,W3 0PH
0,EI3,51.5038527919816,-0.254668101620372,0,1,0,0,0,0,W3 0RX
0,EI8,51.5189160348806,-0.265652052386222,0,0,0,0,1,0,W3 0BU
0,EN1,51.6450367266602,-0.0661800662229116,0,1,0,0,0,0,EN1 1DF
0,EN4,51.614864007,-0.0507658363689,0,1,0,0,0,0,N18 2PD
0,EN5,51.613865,-0.125338,0,1,0,0,0,0,N11 2HL
0,EN7,51.66864334727,-0.02200720557,0,1,0,0,0,0,EN3 6HQ
0,GB0,51.4563,0.085606,0,0,0,0,0,1,DA15 8TQ
0,GB6,51.4563,0.085606,0,1,0,1,1,0,DA15 8TQ
0,GN0,51.490532,0.074003,0,1,0,0,0,1,SE18 7LJ
0,GN3,51.486957,0.095111,0,1,0,1,1,0,SE18 1JY
0,GN4,51.4346627060562,0.0642224671704697,0,1,0,0,1,0,SE9 3QJ
0,GN5,51.4839072533485,0.000407396935849736,0,1,0,0,1,0,SE10 9TS
0,GN6,51.4937746695818,0.0107796237032558,0,1,0,0,1,0,SE10 0BG
0,GR4,51.45258,0.070766,0,1,0,0,1,1,SE9 2PE
0,GR7,51.472504,-0.012381,0,1,0,0,0,0,SE10 8TQ
0,GR8,51.486884,0.017901,0,1,0,1,1,0,SE10 0RT
0,GR9,51.456357,0.040725,0,1,0,0,1,1,SE9 6DN
0,TL4,51.495057,0.0041074676,0,1,0,0,0,0,SE10 0PF
0,HK6,51.526454,-0.08491,0,1,0,1,1,0,EC1V 9EY
0,HG1,51.599302,-0.068218,0,1,0,0,0,0,N17 8AA
0,HG4,51.5839769007709,-0.125400278484885,0,1,0,1,0,0,N8 8QS
0,HR1,51.617327,-0.298775,0,1,0,0,1,0,HA7 4RG
0,HR2,51.588417,-0.362989,0,1,0,0,1,0,HA2 6EH
0,HV3,51.572976,0.179079,0,1,0,0,1,0,RM7 0GJ
0,HI0,51.496309,-0.460826,0,1,0,1,0,0,UB7 9DL
0,IS2,51.555378,-0.116146,0,1,0,0,1,0,N7 9SA
0,IS6,51.557895,-0.106989,0,1,0,0,1,0,N4 2HU
0,KC1,51.5210467476039,-0.213492139585065,1,1,1,1,0,0,W10 6EE
0,KF1,51.5210467476039,-0.213492139585065,0,0,0,0,1,1,W10 6EE
0,KT4,51.379312,-0.281259,0,1,0,0,1,0,KT6 7GD
0,KT5,51.412308,-0.29658478,0,1,0,0,1,0,KT2 6RL
0,KT6,51.4355006647773,-0.257029893767993,0,1,0,0,0,0,SW15 3PP
0,LB4,51.464113541162,-0.11458102695123,0,1,0,0,1,0,SW9 7AE
0,LB5,51.4854867739729,-0.124545234819213,0,1,1,0,1,0,SW8 1SJ
0,LB6,51.4282131429499,-0.13186863879576,0,1,0,0,0,0,SW16 6HE
0,HP1,51.4496728960354,-0.0374153592115306,0,1,0,1,1,1,SE23 1NQ
0,LW1,51.445468,-0.020266,0,1,0,0,0,0,SE6 4RY
0,LW2,51.474954,-0.039641,0,1,0,0,0,0,SE14 6AA
0,LW4,51.4646910611736,-0.0160682432041527,0,1,0,0,1,0,SE13 7SN
0,LW5,51.4795312838203,-0.0252606031340197,0,1,0,0,0,1,SE8 3DR
0,ME2,51.4161384794862,-0.192230805042824,0,0,0,0,1,0,SW19 1EQ
0,ME9,51.40162,-0.19589212,0,1,0,0,0,0,SM4 5DX
0,NM3,51.514727,0.014554,0,1,0,0,1,0,E16 1LS
0,TL5,51.508198,0.015002152,0,1,0,0,0,0,E16 1UP
0,TL6,51.503858,0.020574415,0,1,0,0,0,0,E16 1TH
0,RB4,51.57661,0.030858,0,1,0,0,0,0,E11 2HP
0,RB7,51.5694843315237,0.0829074748964946,0,1,0,1,0,1,IG2 7QZ
0,RI1,51.480189,-0.237335,0,1,0,0,1,0,SW13 9RT
0,RI2,51.476168,-0.230427,0,1,0,1,1,0,SW13 9SA
0,TD5,51.4252560360937,-0.345608290872898,0,0,0,0,1,1,TW11 0NW
0,SK5,51.4804994936467,-0.0595528932573422,0,1,0,0,1,0,SE15 1NG
0,SK6,51.4931557048667,-0.101527038274853,0,1,0,1,1,1,SE1 6FB
0,SK8,51.5013906712066,-0.0782034373606952,0,0,0,0,1,1,SE1 2AW
0,SK9,51.4804994936467,-0.0595528932573422,0,0,0,0,1,1,SE15 1NG
0,SKA,51.4965604167321,-0.0530504472531612,0,1,0,0,1,1,SE16 2TU
0,SKB,51.4735803479615,-0.0877818536754426,0,0,0,0,0,1,SE5 8TU
0,ST4,51.3586596124998,-0.149723946604927,0,1,0,0,1,0,SM6 0LY
0,ST5,51.389286904505,-0.141661524779893,0,0,0,0,1,1,CR0 4TF
0,ST6,51.377923,-0.240414,0,1,0,0,1,0,KT4 8EB
0,ST9,51.3712010773161,-0.131948824988095,0,0,0,0,1,0,CR0 4UA
0,TH2,51.5225294860844,-0.0421550991900347,0,1,0,0,0,0,E1 4TP
0,TH4,51.5150461674013,-0.00841849265642741,0,1,0,0,0,0,E14 0NF
0,WA2,51.456962,-0.191074,0,1,0,0,0,0,SW18 4LD
0,WA7,51.463429,-0.215871,0,1,0,0,0,0,SW15 1RB
0,WA8,51.4637206047191,-0.215890144123119,0,1,0,0,0,0,SW15 1TW
0,WA9,51.4650325059122,-0.215824580947572,0,1,0,0,1,0,SW15 1PP
0,WAA,51.4794395281222,-0.141786953606306,0,1,0,0,1,0,SW8 4DU
0,WAB,51.429331,-0.166524,0,1,0,0,1,0,SW17 0SN
0,WAC,51.4636903568111,-0.166713485994806,0,1,0,0,1,0,SW11 1LN
0,GV1,51.493492,-0.149906,0,1,0,0,0,0,SW1W 9QU
0,GV2,51.5129998832095,-0.150913488159214,0,1,0,0,0,0,W1K 6JG
0,MY1,51.52254,-0.15459,1,1,1,1,0,0,NW1 5LS
0,MY7,51.52254,-0.15459,0,0,0,0,1,1,NW1 5LS
0,NB1,51.5119701188277,-0.116713103528546,0,1,0,0,0,0,WC2R 1ES
0,WM0,51.494681,-0.131938,0,1,0,0,0,1,SW1P 2ED
0,WM5,51.5119769825798,-0.12162720332856,0,1,0,0,0,0,WC2E 7BB
0,WM6,51.5139287404213,-0.152792701881935,0,1,0,0,1,0,W1C 2PL
0,WMB,51.516066,-0.13516388,0,1,0,0,1,0,W1D 1BX
0,WMC,51.5168016452062,-0.145657269364411,0,1,0,0,1,0,W1G 9QD
0,WMD,51.4922482333024,-0.147114752900186,0,1,0,0,0,1,SW1V 4BJ